 날짜,시간,청운효자동
 20190205, 1200, 3.000000 
 20190205, 1300, 2.500000 
 20190205, 1400, 1.800000 
 20190205, 1500, 1.400000 
 20190205, 1600, 0.900000 
 20190205, 1700, 0.300000 
 20190205, 1800, 0.200000 
 20190205, 1900, 0.500000 
 20190205, 2000, 0.300000 
 20190205, 2100, 0.100000 
 20190205, 2200, 0.700000 
 20190205, 2300, 1.800000 
 20190206, 0000, 3.800000 
 20190206, 0100, 5.500000 
 20190206, 0200, 7.800000 
 20190206, 0300, 9.000000 
 20190206, 0400, 9.100000 
 20190206, 0500, 9.200000 
 20190206, 0600, 9.000000 
